timestamp_local,hours_from_departure,phase,mould_odour_ou,temperature_c,co2_ppm,sound_dba
2023-12-16T05:00,240,empty-ac-off,206.3,26.27,372,41.5
2023-12-16T06:00,241,empty-ac-off,197.1,26.15,371,41.6
2023-12-16T07:00,242,empty-ac-off,192.1,25.82,373,41.6
2023-12-16T08:00,243,empty-ac-off,196.9,25.66,376,41.7
2023-12-16T09:00,244,empty-ac-off,190.9,25.70,380,41.6
2023-12-16T10:00,245,empty-ac-off,194.1,25.71,381,41.3
2023-12-16T11:00,246,empty-ac-off,199.2,25.74,378,41.3
2023-12-16T12:00,247,empty-ac-off,198.8,25.79,378,41.3
2023-12-16T13:00,248,empty-ac-off,195.0,25.81,376,41.3
2023-12-16T14:00,249,empty-ac-off,197.3,25.83,375,41.5
2023-12-16T15:00,250,empty-ac-off,195.9,25.85,374,41.4
2023-12-16T16:00,251,empty-ac-off,197.5,25.88,372,41.3
2023-12-16T17:00,252,empty-ac-off,196.0,25.89,369,41.4
2023-12-16T18:00,253,empty-ac-off,187.3,25.87,370,41.4
2023-12-16T19:00,254,empty-ac-off,185.0,25.86,369,41.3
2023-12-16T20:00,255,empty-ac-off,199.0,25.87,367,41.3
2023-12-16T21:00,256,empty-ac-off,195.3,25.82,373,41.3
2023-12-16T22:00,257,empty-ac-off,187.1,25.87,372,41.4
2023-12-16T23:00,258,empty-ac-off,192.9,25.91,376,41.4
2023-12-17T00:00,259,empty-ac-off,191.3,25.89,376,41.4
2023-12-17T01:00,260,empty-ac-off,189.4,25.81,372,41.5
2023-12-17T02:00,261,empty-ac-off,199.7,25.81,371,41.5
2023-12-17T03:00,262,empty-ac-off,194.9,25.77,379,41.5
2023-12-17T04:00,263,empty-ac-off,190.5,25.80,374,41.5
2023-12-17T05:00,264,empty-ac-off,181.9,25.78,371,41.6
2023-12-17T06:00,265,empty-ac-off,190.4,25.71,373,41.6
2023-12-17T07:00,266,empty-ac-off,192.2,25.69,377,41.8
2023-12-17T08:00,267,empty-ac-off,191.4,25.63,379,41.9
2023-12-17T09:00,268,empty-ac-off,191.4,25.61,377,41.9
2023-12-17T10:00,269,empty-ac-off,196.7,25.64,377,41.9
2023-12-17T11:00,270,empty-ac-off,194.5,25.81,371,41.8
2023-12-17T12:00,271,empty-ac-off,195.4,25.78,371,41.9
2023-12-17T13:00,272,empty-ac-off,195.4,25.78,371,41.8
2023-12-17T14:00,273,empty-ac-off,196.8,25.91,374,41.6
2023-12-17T15:00,274,empty-ac-off,190.8,25.99,373,41.6
2023-12-17T16:00,275,empty-ac-off,194.9,26.00,375,41.5
2023-12-17T17:00,276,empty-ac-off,195.4,26.00,372,41.6
2023-12-17T18:00,277,empty-ac-off,195.1,26.01,372,41.6
